campaign_id,company_size,industry,marketing_channel,ad_spend,duration,target_audience,region,device,operating_system,browser,engagement_metric,conversion_rate,success,budget_allocation,audience_reach,device_conversion_rate,os_conversion_rate,browser_conversion_rate
63,100+,retail,content marketing,22388,65,suburban,South America,tablet,iOS,Safari,113870,0.550995183,1,344.4307692,126522.2222,0.7,0.9,0.7
64,Nov-50,services,email,23506,50,suburban,North America,tablet,Android,Safari,1793,0.303390215,1,470.12,1992.222222,0.7,0.8,0.7
65,Nov-50,e-commerce,search engine,17766,43,18-34,South America,desktop,Android,Firefox,155350,0.436073075,1,413.1627907,155350,0.9,0.8,0.8
66,Nov-50,technology,social media,11696,40,rural,Asia-Pacific,mobile,Windows,Firefox,269326,0.893473535,1,292.4,384751.4286,0.8,0.7,0.8
67,10-Jan,technology,content marketing,8981,63,suburban,Asia-Pacific,desktop,Android,Firefox,227256,0.669954251,1,142.5555556,252506.6667,0.9,0.8,0.8
68,100+,finance,influencer,21855,63,suburban,Asia-Pacific,mobile,iOS,Safari,277315,0.148878591,1,346.9047619,308127.7778,0.8,0.9,0.7
69,10-Jan,retail,content marketing,24789,46,suburban,Europe,desktop,Windows,Firefox,404670,0.886306022,1,538.8913043,449633.3333,0.9,0.7,0.8
70,100+,finance,search engine,5308,26,rural,Europe,tablet,Android,Chrome,400736,0.372833489,1,204.1538462,572480,0.7,0.8,0.9
71,51-100,finance,email,45463,23,urban,Africa,mobile,iOS,Safari,242629,0.341284526,1,1976.652174,202190.8333,0.8,0.9,0.7
72,10-Jan,finance,influencer,32510,58,suburban,North America,desktop,Android,Chrome,29547,0.501536422,1,560.5172414,32830,0.9,0.8,0.9
73,10-Jan,technology,email,34372,10,18-34,North America,tablet,Android,Safari,123534,0.205293993,1,3437.2,123534,0.7,0.8,0.7
74,100+,services,content marketing,12707,69,35-54,Asia-Pacific,tablet,Android,Chrome,445316,0.914235985,1,184.1594203,556645,0.7,0.8,0.9
75,51-100,finance,content marketing,20522,56,urban,Asia-Pacific,mobile,Android,Firefox,203848,0.467889029,1,366.4642857,169873.3333,0.8,0.8,0.8
76,51-100,services,social media,40815,88,35-54,Europe,desktop,iOS,Safari,171674,0.3938227,1,463.8068182,214592.5,0.9,0.9,0.7
77,51-100,services,influencer,31497,56,35-54,South America,tablet,Windows,Safari,205725,0.170967753,1,562.4464286,257156.25,0.7,0.7,0.7
78,10-Jan,manufacturing,content marketing,35524,22,18-34,North America,mobile,iOS,Chrome,480888,0.802681453,1,1614.727273,480888,0.8,0.9,0.9
79,Nov-50,e-commerce,search engine,48959,78,urban,North America,mobile,iOS,Safari,223762,0.952835563,1,627.6794872,186468.3333,0.8,0.9,0.7
80,10-Jan,finance,search engine,39785,67,rural,South America,tablet,Windows,Chrome,477590,0.869592614,0,593.8059701,682271.4286,0.7,0.7,0.9
81,100+,retail,email,18366,50,55+,North America,desktop,Windows,Firefox,158208,0.161496963,1,367.32,263680,0.9,0.7,0.8
82,51-100,retail,search engine,42649,24,suburban,North America,mobile,Android,Chrome,116851,0.751615483,1,1777.041667,129834.4444,0.8,0.8,0.9
83,Nov-50,technology,content marketing,39246,56,35-54,Europe,tablet,Android,Chrome,353703,0.204163846,0,700.8214286,442128.75,0.7,0.8,0.9
84,10-Jan,manufacturing,search engine,31928,86,35-54,North America,tablet,iOS,Safari,107599,0.038834393,1,371.255814,134498.75,0.7,0.9,0.7
85,Nov-50,e-commerce,influencer,25581,36,18-34,Asia-Pacific,tablet,Android,Firefox,488892,0.484471717,1,710.5833333,488892,0.7,0.8,0.8
86,Nov-50,technology,email,29105,55,rural,Asia-Pacific,desktop,Windows,Firefox,13992,0.670380614,1,529.1818182,19988.57143,0.9,0.7,0.8
87,51-100,healthcare,influencer,42638,27,18-34,Africa,desktop,Windows,Firefox,176374,0.124287563,1,1579.185185,176374,0.9,0.7,0.8
88,51-100,manufacturing,content marketing,24843,28,18-34,Europe,mobile,Android,Firefox,200398,0.605518957,1,887.25,200398,0.8,0.8,0.8
89,100+,finance,content marketing,49714,53,urban,Europe,mobile,iOS,Safari,57257,0.8436455,1,938,47714.16667,0.8,0.9,0.7
90,Nov-50,services,search engine,47191,31,rural,Asia-Pacific,tablet,Android,Safari,49793,0.209010447,1,1522.290323,71132.85714,0.7,0.8,0.7
91,10-Jan,services,social media,10434,62,suburban,Europe,mobile,Windows,Safari,263295,0.42778938,1,168.2903226,292550,0.8,0.7,0.7
92,51-100,services,social media,38339,70,urban,Europe,tablet,Windows,Firefox,23408,0.498800727,1,547.7,19506.66667,0.7,0.7,0.8
93,51-100,manufacturing,content marketing,24973,34,18-34,Africa,mobile,iOS,Chrome,59218,0.831211751,1,734.5,59218,0.8,0.9,0.9
94,Nov-50,finance,content marketing,46107,39,18-34,South America,desktop,Windows,Firefox,180390,0.771376614,1,1182.230769,180390,0.9,0.7,0.8
95,51-100,finance,email,16635,72,rural,North America,desktop,iOS,Firefox,143011,0.769327639,1,231.0416667,204301.4286,0.9,0.9,0.8
96,Nov-50,manufacturing,content marketing,5596,10,rural,Africa,tablet,iOS,Firefox,438941,0.67903834,1,559.6,627058.5714,0.7,0.9,0.8
97,Nov-50,retail,content marketing,26457,86,35-54,South America,mobile,Android,Chrome,255046,0.617789147,1,307.6395349,318807.5,0.8,0.8,0.9
98,Nov-50,healthcare,email,37415,18,urban,North America,mobile,Android,Chrome,299616,0.508887524,1,2078.611111,249680,0.8,0.8,0.9
99,10-Jan,services,influencer,33321,23,urban,Asia-Pacific,mobile,iOS,Safari,101287,0.369618649,0,1448.73913,84405.83333,0.8,0.9,0.7
100,10-Jan,services,influencer,19834,42,rural,South America,tablet,Android,Firefox,122733,0.513227613,1,472.2380952,175332.8571,0.7,0.8,0.8
101,10-Jan,finance,email,42018,22,suburban,North America,mobile,Windows,Firefox,169494,0.85371975,0,1909.909091,188326.6667,0.8,0.7,0.8
102,51-100,technology,email,25709,29,urban,Africa,desktop,iOS,Firefox,478633,0.570588536,1,886.5172414,398860.8333,0.9,0.9,0.8
103,Nov-50,finance,influencer,8371,78,rural,North America,mobile,iOS,Firefox,434020,0.985605858,1,107.3205128,620028.5714,0.8,0.9,0.8
104,Nov-50,services,influencer,5157,15,suburban,Europe,desktop,Android,Safari,254052,0.142533186,1,343.8,282280,0.9,0.8,0.7
105,100+,healthcare,influencer,21032,84,55+,North America,mobile,iOS,Chrome,221162,0.441154806,1,250.3809524,368603.3333,0.8,0.9,0.9
106,Nov-50,services,influencer,8318,61,rural,Asia-Pacific,tablet,iOS,Safari,251571,0.200280486,1,136.3606557,359387.1429,0.7,0.9,0.7
107,Nov-50,services,search engine,18462,79,suburban,Africa,tablet,iOS,Safari,304443,0.365099908,1,233.6962025,338270,0.7,0.9,0.7
108,51-100,retail,email,44989,70,18-34,South America,mobile,Android,Safari,466915,0.789764374,1,642.7,466915,0.8,0.8,0.7
109,Nov-50,services,social media,13957,53,55+,North America,mobile,iOS,Chrome,88679,0.824774458,1,263.3396226,147798.3333,0.8,0.9,0.9
110,10-Jan,services,search engine,16843,73,35-54,Africa,desktop,iOS,Safari,306547,0.031719117,1,230.7260274,383183.75,0.9,0.9,0.7
111,Nov-50,services,social media,7612,16,35-54,Asia-Pacific,tablet,iOS,Firefox,171818,0.95336958,1,475.75,214772.5,0.7,0.9,0.8
112,10-Jan,e-commerce,social media,25946,10,35-54,South America,mobile,Android,Safari,430549,0.871871981,1,2594.6,538186.25,0.8,0.8,0.7
113,100+,healthcare,content marketing,17020,36,18-34,North America,tablet,iOS,Firefox,42620,0.904969758,1,472.7777778,42620,0.7,0.9,0.8
114,100+,manufacturing,email,17773,17,rural,Asia-Pacific,tablet,iOS,Safari,81906,0.376779392,1,1045.470588,117008.5714,0.7,0.9,0.7
115,51-100,e-commerce,search engine,35247,57,35-54,Europe,mobile,Android,Safari,319980,0.496959859,1,618.3684211,399975,0.8,0.8,0.7
116,100+,services,email,5443,25,suburban,Africa,mobile,iOS,Firefox,5998,0.168503367,1,217.72,6664.444444,0.8,0.9,0.8
117,100+,e-commerce,influencer,43741,19,rural,Africa,mobile,iOS,Firefox,246058,0.396832407,1,2302.157895,351511.4286,0.8,0.9,0.8
118,10-Jan,technology,email,22288,63,18-34,North America,mobile,iOS,Firefox,54424,0.126146148,1,353.7777778,54424,0.8,0.9,0.8
119,100+,e-commerce,social media,7910,9,urban,Asia-Pacific,desktop,iOS,Firefox,135818,0.863285853,1,878.8888889,113181.6667,0.9,0.9,0.8
120,Nov-50,finance,influencer,49169,84,18-34,South America,mobile,iOS,Firefox,282682,0.58112978,1,585.3452381,282682,0.8,0.9,0.8
121,100+,e-commerce,email,39569,80,18-34,South America,desktop,Windows,Chrome,426726,0.135981792,1,494.6125,426726,0.9,0.7,0.9
122,100+,services,email,22309,44,urban,South America,mobile,iOS,Chrome,252714,0.879065577,1,507.0227273,210595,0.8,0.9,0.9
123,Nov-50,finance,social media,16913,33,suburban,South America,tablet,Windows,Chrome,390758,0.08036841,1,512.5151515,434175.5556,0.7,0.7,0.9
124,10-Jan,healthcare,influencer,19265,86,55+,North America,mobile,Windows,Safari,15343,0.926947317,1,224.0116279,25571.66667,0.8,0.7,0.7
125,Nov-50,e-commerce,social media,33963,16,urban,North America,desktop,Windows,Chrome,221798,0.105749308,0,2122.6875,184831.6667,0.9,0.7,0.9
126,Nov-50,finance,email,34905,59,18-34,Africa,mobile,Windows,Firefox,486826,0.717976196,1,591.6101695,486826,0.8,0.7,0.8
127,100+,manufacturing,search engine,29235,33,35-54,Asia-Pacific,mobile,Windows,Chrome,31866,0.645306919,1,885.9090909,39832.5,0.8,0.7,0.9
128,100+,finance,search engine,14426,13,urban,Europe,tablet,Android,Chrome,130057,0.782701461,1,1109.692308,108380.8333,0.7,0.8,0.9
129,10-Jan,technology,content marketing,7922,88,urban,North America,tablet,Android,Safari,452146,0.564770004,1,90.02272727,376788.3333,0.7,0.8,0.7
130,Nov-50,technology,search engine,45323,19,55+,South America,desktop,Android,Firefox,167226,0.349921536,1,2385.421053,278710,0.9,0.8,0.8
131,Nov-50,finance,influencer,35091,78,18-34,Europe,mobile,Windows,Safari,85981,0.274400896,1,449.8846154,85981,0.8,0.7,0.7
132,Nov-50,services,content marketing,32771,66,35-54,Africa,mobile,iOS,Chrome,498829,0.945470612,1,496.530303,623536.25,0.8,0.9,0.9
133,10-Jan,technology,influencer,14776,20,35-54,South America,tablet,iOS,Chrome,258280,0.441270238,1,738.8,322850,0.7,0.9,0.9
134,Nov-50,manufacturing,search engine,5919,50,55+,Asia-Pacific,desktop,iOS,Safari,398476,0.842193549,1,118.38,664126.6667,0.9,0.9,0.7
135,100+,e-commerce,search engine,42772,76,rural,Europe,mobile,iOS,Safari,292308,0.723055831,1,562.7894737,417582.8571,0.8,0.9,0.7
136,Nov-50,e-commerce,email,25954,34,35-54,Africa,desktop,Android,Firefox,220696,0.656134947,1,763.3529412,275870,0.9,0.8,0.8
137,Nov-50,e-commerce,influencer,25837,29,suburban,North America,desktop,Windows,Chrome,15009,0.970609295,1,890.9310345,16676.66667,0.9,0.7,0.9
138,51-100,technology,social media,14958,18,urban,Asia-Pacific,desktop,Android,Firefox,5696,0.56544959,0,831,4746.666667,0.9,0.8,0.8
139,Nov-50,retail,email,10575,30,urban,South America,tablet,iOS,Chrome,26038,0.733017432,1,352.5,21698.33333,0.7,0.9,0.9
140,100+,retail,influencer,12945,57,35-54,Europe,tablet,Windows,Chrome,23009,0.84966963,1,227.1052632,28761.25,0.7,0.7,0.9
141,100+,e-commerce,content marketing,15863,28,35-54,Africa,mobile,iOS,Safari,473595,0.045977541,1,566.5357143,591993.75,0.8,0.9,0.7
142,Nov-50,manufacturing,influencer,20857,68,35-54,Europe,desktop,Android,Chrome,395322,0.996307939,1,306.7205882,494152.5,0.9,0.8,0.9
143,Nov-50,finance,content marketing,37309,32,urban,Asia-Pacific,desktop,Android,Chrome,96692,0.262174332,1,1165.90625,80576.66667,0.9,0.8,0.9
144,Nov-50,manufacturing,content marketing,27954,64,35-54,North America,desktop,Android,Firefox,28780,0.702516786,1,436.78125,35975,0.9,0.8,0.8
145,Nov-50,technology,search engine,38368,77,suburban,North America,mobile,iOS,Chrome,395362,0.953616228,1,498.2857143,439291.1111,0.8,0.9,0.9
146,10-Jan,finance,social media,32742,21,suburban,Asia-Pacific,mobile,Windows,Chrome,114208,0.763136841,1,1559.142857,126897.7778,0.8,0.7,0.9
147,51-100,finance,influencer,17134,74,urban,South America,desktop,Windows,Chrome,379416,0.229617297,1,231.5405405,316180,0.9,0.7,0.9
148,Nov-50,retail,social media,16580,12,rural,Europe,desktop,Android,Chrome,228084,0.362313888,1,1381.666667,325834.2857,0.9,0.8,0.9
149,10-Jan,finance,content marketing,25966,8,18-34,South America,desktop,Windows,Safari,490660,0.414179008,1,3245.75,490660,0.9,0.7,0.7
150,Nov-50,manufacturing,search engine,21037,37,18-34,Africa,mobile,iOS,Chrome,90059,0.586347494,1,568.5675676,90059,0.8,0.9,0.9
151,100+,finance,social media,7786,30,18-34,South America,desktop,Windows,Chrome,236630,0.602947727,1,259.5333333,236630,0.9,0.7,0.9
152,Nov-50,services,email,24079,41,suburban,Asia-Pacific,desktop,iOS,Safari,497644,0.787900733,1,587.2926829,552937.7778,0.9,0.9,0.7
153,10-Jan,services,content marketing,20231,53,55+,North America,tablet,Android,Chrome,18251,0.859673213,1,381.7169811,30418.33333,0.7,0.8,0.9
154,Nov-50,e-commerce,email,16840,37,18-34,Asia-Pacific,desktop,Android,Safari,316969,0.08953769,1,455.1351351,316969,0.9,0.8,0.7
155,100+,finance,social media,7052,78,55+,Asia-Pacific,tablet,Android,Firefox,412018,0.273156647,1,90.41025641,686696.6667,0.7,0.8,0.8
156,Nov-50,manufacturing,social media,38399,82,urban,Europe,desktop,Windows,Chrome,389842,0.343662192,0,468.2804878,324868.3333,0.9,0.7,0.9
157,51-100,services,social media,8442,8,suburban,Asia-Pacific,tablet,iOS,Safari,72041,0.01336467,1,1055.25,80045.55556,0.7,0.9,0.7
158,51-100,services,influencer,6754,85,rural,Africa,tablet,Android,Firefox,78296,0.417584555,1,79.45882353,111851.4286,0.7,0.8,0.8
159,Nov-50,finance,content marketing,48993,65,18-34,Europe,mobile,iOS,Chrome,352850,0.358798655,1,753.7384615,352850,0.8,0.9,0.9
160,51-100,finance,content marketing,14770,69,suburban,Europe,desktop,Android,Firefox,357365,0.52539017,1,214.057971,397072.2222,0.9,0.8,0.8
161,Nov-50,retail,content marketing,18499,81,urban,South America,desktop,iOS,Chrome,15833,0.100181491,1,228.382716,13194.16667,0.9,0.9,0.9
162,51-100,technology,influencer,5025,23,suburban,Asia-Pacific,desktop,Android,Safari,204859,0.41399278,1,218.4782609,227621.1111,0.9,0.8,0.7
163,51-100,manufacturing,social media,29330,60,35-54,South America,tablet,iOS,Safari,255561,0.597415963,1,488.8333333,319451.25,0.7,0.9,0.7
164,Nov-50,manufacturing,social media,15401,27,18-34,South America,mobile,iOS,Safari,224090,0.80381527,1,570.4074074,224090,0.8,0.9,0.7
165,10-Jan,finance,email,45065,28,suburban,Europe,tablet,iOS,Safari,363221,0.766452435,1,1609.464286,403578.8889,0.7,0.9,0.7
166,100+,e-commerce,influencer,11553,61,rural,South America,tablet,Windows,Safari,495829,0.40485657,0,189.3934426,708327.1429,0.7,0.7,0.7
167,Nov-50,manufacturing,search engine,10759,35,suburban,South America,tablet,Android,Chrome,345409,0.38953258,1,307.4,383787.7778,0.7,0.8,0.9
168,10-Jan,services,influencer,12755,85,suburban,Europe,desktop,iOS,Safari,402230,0.037472049,1,150.0588235,446922.2222,0.9,0.9,0.7
169,10-Jan,manufacturing,email,18384,27,urban,Europe,tablet,Windows,Chrome,191133,0.082644628,1,680.8888889,159277.5,0.7,0.7,0.9
170,Nov-50,manufacturing,email,34928,8,18-34,North America,tablet,Windows,Chrome,420287,0.872406435,1,4366,420287,0.7,0.7,0.9
171,51-100,retail,email,32478,48,rural,Asia-Pacific,mobile,Windows,Chrome,192634,0.805875047,0,676.625,275191.4286,0.8,0.7,0.9
172,10-Jan,e-commerce,social media,38897,58,18-34,North America,desktop,iOS,Chrome,246331,0.021087186,1,670.637931,246331,0.9,0.9,0.9
173,Nov-50,retail,search engine,42764,44,35-54,Europe,mobile,iOS,Chrome,208983,0.882678562,1,971.9090909,261228.75,0.8,0.9,0.9
174,Nov-50,services,email,37374,9,35-54,Africa,desktop,Windows,Chrome,415870,0.613879261,1,4152.666667,519837.5,0.9,0.7,0.9
175,51-100,services,content marketing,25529,31,suburban,South America,mobile,Android,Safari,337501,0.80191912,1,823.516129,375001.1111,0.8,0.8,0.7
176,10-Jan,e-commerce,social media,43409,83,18-34,South America,desktop,iOS,Safari,251824,0.502526723,1,523,251824,0.9,0.9,0.7
177,51-100,finance,search engine,37368,68,18-34,Europe,desktop,iOS,Safari,262830,0.150626379,1,549.5294118,262830,0.9,0.9,0.7
178,Nov-50,manufacturing,content marketing,19371,21,suburban,South America,tablet,Android,Chrome,139233,0.356890501,1,922.4285714,154703.3333,0.7,0.8,0.9
179,100+,technology,search engine,12369,76,55+,North America,mobile,iOS,Chrome,52338,0.450029078,1,162.75,87230,0.8,0.9,0.9
180,10-Jan,healthcare,search engine,8895,16,18-34,South America,desktop,Android,Chrome,211457,0.753912142,1,555.9375,211457,0.9,0.8,0.9
181,Nov-50,technology,content marketing,19453,79,suburban,Africa,tablet,Android,Chrome,82409,0.812692595,0,246.2405063,91565.55556,0.7,0.8,0.9
182,10-Jan,manufacturing,influencer,9797,75,suburban,Asia-Pacific,mobile,iOS,Firefox,449404,0.741452927,1,130.6266667,499337.7778,0.8,0.9,0.8
183,100+,manufacturing,search engine,6828,50,55+,North America,desktop,Windows,Firefox,436314,0.47664744,1,136.56,727190,0.9,0.7,0.8
184,100+,manufacturing,influencer,14727,47,35-54,Asia-Pacific,desktop,iOS,Safari,20610,0.663701446,1,313.3404255,25762.5,0.9,0.9,0.7
185,Nov-50,technology,search engine,17517,89,rural,Asia-Pacific,desktop,Windows,Safari,208807,0.295514781,1,196.8202247,298295.7143,0.9,0.7,0.7
186,51-100,manufacturing,content marketing,21943,26,suburban,Africa,tablet,iOS,Chrome,74707,0.98780171,1,843.9615385,83007.77778,0.7,0.9,0.9
187,100+,finance,search engine,47838,43,18-34,Africa,mobile,Windows,Chrome,111483,0.168205738,1,1112.511628,111483,0.8,0.7,0.9
188,Nov-50,finance,email,31831,45,35-54,Africa,desktop,Android,Safari,405361,0.723602565,1,707.3555556,506701.25,0.9,0.8,0.7
